SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
120,4149,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912020,95790074149
121,4150,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911681,95790074150
122,4151,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911682,95790074151
123,4152,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911683,95790074152
124,4153,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911684,95790074153
125,4154,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911685,95790074154
126,4155,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911686,95790074155
127,4156,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911687,95790074156
128,4157,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911688,95790074157
129,4158,Casa Grande Homes Pvt. Ltd.,"C-1304,casa Grande Homes Pvt. Ltd.,kanathur",3,6911689,95790074158
130,4159,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911690,95790074159
